filename,plddt full,plddt VSDI,plddt VSDII,plddt VSDIII,plddt VSDIV,plddt AG,plddt IFM,plddt SF,plddt partner,VSDI,VSDIII,VSDII,VSDIV,AG1,AG2,IFM,SF,iptm,plddt,ptm,CAM
hnaV1.2-CaM_unrelaxed_rank_072_alphafold2_multimer_v3_model_2_seed_027.r4.pdb,79.93313483915126,81.16199999999999,84.23239669421488,80.81343511450382,82.06280000000001,73.48416666666667,65.23,90.74454545454546,52.31087248322147,14.99075318321264,19.573368131213392,14.87806200417245,20.20763514120344,11.682987289216744,12.521538324023927,9.467431224994456,10.530636732885624,0.515,63.8,0.655,7.102770023026228
hnaV1.2-CaM_unrelaxed_rank_067_alphafold2_multimer_v3_model_2_seed_018.r8.pdb,80.87101300479124,81.63191304347826,84.19487603305785,81.9418320610687,82.65664,76.1675,42.873333333333335,90.85227272727272,64.27395973154363,14.79721831967076,19.4539754806055,14.422780314488604,20.10020121789829,12.938666160002738,13.08717681549386,27.19880776798865,10.463608603154077,0.712,65.4,0.663,6.2528717402486365
hnaV1.2-CaM_unrelaxed_rank_008_alphafold2_multimer_v3_model_5_seed_011.r5.pdb,81.38854893908282,81.75313043478262,84.73289256198348,83.02175572519084,83.36528,76.6925,43.333333333333336,89.98227272727273,66.35255033557047,15.675874903813185,20.605617559296785,15.298784102012812,21.035331849058142,11.702217140354216,12.555575733513775,30.00062221021424,10.373658274687864,0.811,65.7,0.669,6.283791848875964
hnaV1.2-CaM_unrelaxed_rank_075_alphafold2_multimer_v3_model_1_seed_022.r6.pdb,81.57281998631075,82.92547826086957,84.7987603305785,82.72870229007633,82.67712,78.66583333333334,47.59666666666666,90.79318181818182,58.8926845637584,15.577974226451907,20.66004206191265,15.224113011929465,20.53865638253876,12.886836190469715,13.283457607114196,27.836309759017983,10.268780842923858,0.666,65.6,0.675,5.978792938378116
hnaV1.2-CaM_unrelaxed_rank_084_alphafold2_multimer_v3_model_1_seed_020.r6.pdb,82.2897672826831,83.85521739130435,85.56223140495868,83.3985496183206,83.16816,81.00583333333333,47.1,90.93045454545457,54.844496644295305,15.35210620729286,20.630567757577587,15.103981395645324,20.3216642035046,13.104376597152571,13.173576014127674,25.8502660914738,10.173520187231164,0.579,65.9,0.669,26.93840294078326
hnaV1.2-CaM_unrelaxed_rank_039_alphafold2_multimer_v3_model_3_seed_018.r0.pdb,79.38005475701574,82.21678260869565,84.20776859504132,84.29320610687023,78.81591999999999,66.11083333333333,52.72666666666667,80.29863636363636,56.06577181208053,14.283659930143951,20.332407284923253,15.285465580086202,19.24954474786352,12.120001361386064,12.26509359931672,12.516787167640103,11.119416756287176,0.558,63.5,0.622,26.112293694733136
hnaV1.2-CaM_unrelaxed_rank_057_alphafold2_multimer_v3_model_3_seed_025.r3.pdb,81.07588637919233,82.71782608695652,84.67528925619834,83.90320610687023,81.334,75.44,38.09666666666666,86.64863636363636,56.947919463087246,15.92204600546048,20.973731570705297,15.737646202656864,20.68338427337268,11.76105207878955,12.611513866304868,29.335740829234226,10.198907882709792,0.591,64.9,0.653,7.546442208087199
hnaV1.2-CaM_unrelaxed_rank_090_alphafold2_multimer_v3_model_2_seed_026.r5.pdb,80.504257357974,82.08052173913043,84.52991735537191,81.34969465648855,82.55816,75.8225,38.26333333333333,91.52,54.88302013422818,14.920259950818552,19.529660135291653,14.668990728744772,20.16871126274557,12.74988784264395,12.995575747153335,26.596278499068248,10.353904142882527,0.465,64.2,0.65,18.738582523766304
hnaV1.2-CaM_unrelaxed_rank_094_alphafold2_multimer_v3_model_1_seed_012.pdb,81.78885694729638,83.06530434782609,85.12537190082645,83.99061068702291,83.6784,80.21833333333333,45.92,91.21318181818182,49.17906040268456,15.441642496833037,20.860085474417406,15.33774774861029,20.586109418731844,13.082522424976002,13.225859215945103,27.45525984215047,10.181283416151423,0.45,65.2,0.669,16.827565866755652
hnaV1.2-CaM_unrelaxed_rank_040_alphafold2_multimer_v3_model_3_seed_015.r7.pdb,81.55284736481862,82.94269565217391,85.09537190082645,83.79175572519084,84.50175999999999,75.0825,44.00666666666667,89.74136363636363,64.7720134228188,16.17308937711036,20.94175209957372,16.20171673002586,21.68161440022398,11.859632498522034,13.114186555025055,8.938150479825232,10.39174739877755,0.782,65.7,0.654,6.112947325145213
hnaV1.2-CaM_unrelaxed_rank_055_alphafold2_multimer_v3_model_4_seed_023.r3.pdb,80.870636550308,81.45208695652174,84.5287603305785,82.41236641221374,83.28175999999999,75.98416666666667,37.27333333333333,91.60863636363636,60.5931543624161,15.620356365973215,19.94761374199932,15.280775929251762,20.551508436122152,12.561922145913815,13.477619114665616,29.795180768036964,10.45844505650816,0.713,64.7,0.665,5.807674663753127
hnaV1.2-CaM_unrelaxed_rank_061_alphafold2_multimer_v3_model_3_seed_022.r1.pdb,80.72558521560575,82.56460869565218,85.14661157024793,82.91114503816794,80.33072,75.17583333333333,50.97,88.91136363636363,57.93187919463087,14.523829075006358,19.8572148349158,14.786830221518068,19.70305407798497,11.631422741866103,11.89796465787321,9.082256382639724,10.394941558277276,0.601,64.7,0.646,6.432745292641395
hnaV1.2-CaM_unrelaxed_rank_049_alphafold2_multimer_v3_model_4_seed_028.r3.pdb,80.30785763175906,82.0495652173913,83.86520661157026,81.67022900763358,83.06416,76.13833333333334,34.28,90.74954545454544,59.88073825503356,15.2839713098396,19.947740473547373,15.398197491914436,20.66878078165232,11.620759957937349,12.587918851025377,28.820434469313607,10.331429426754074,0.721,64.2,0.662,6.023841299370361
hnaV1.2-CaM_unrelaxed_rank_064_alphafold2_multimer_v3_model_3_seed_014.r6.pdb,81.61849418206707,82.95313043478261,85.0,83.64931297709923,83.83424000000001,75.19916666666667,36.92666666666667,90.02590909090908,65.11040268456377,15.82285135492336,20.68363979090721,15.612599303126949,20.98576157779364,11.883105865050602,13.129464345509302,29.74146877677698,10.481191630725965,0.729,65.8,0.656,5.944068051427406
hnaV1.2-CaM_unrelaxed_rank_023_alphafold2_multimer_v3_model_5_seed_014.r5.pdb,81.17620123203285,81.9266956521739,84.28214876033057,82.9667175572519,83.13032000000001,76.0725,42.85333333333333,90.03954545454545,66.90751677852349,15.762558770707248,20.61808608964469,15.48067627721735,20.951978498461667,11.725015863528713,12.56573917443777,29.730314781380976,10.331364527495872,0.822,65.4,0.67,6.243025708740915
