filename,plddt full,plddt VSDI,plddt VSDII,plddt VSDIII,plddt VSDIV,plddt AG,plddt IFM,plddt SF,VSDI,VSDII,VSDIII,VSDIV,AG1,AG2,IFM,SF,7W9K,7W9K_full
_hNaV1.7-alpha-only_unrelaxed_rank_012_alphafold2_ptm_model_3_seed_034.r2.pdb,78.96172222222222,80.60008695652174,84.2916393442623,81.89432000000001,80.9044,77.92166666666667,41.156666666666666,87.49136363636363,15.515703851259858,14.992067702621943,19.542454707635883,19.592611005172333,14.209572336984673,12.148980286427337,22.68622015673832,9.56220999560248,1.0730225240606597,6.9811830235717895
_hNaV1.7-alpha-only_unrelaxed_rank_067_alphafold2_ptm_model_1_seed_027.r4.pdb,74.72502083333333,74.95121739130434,80.6733606557377,77.5228,73.75752,67.0125,35.61,82.07363636363635,15.357035846803248,15.883826648512631,20.21471273602472,18.58016741044063,14.637231705483108,14.05102352143786,24.75871783836958,10.063141656560342,1.0223317386959876,7.40460186781555
_hNaV1.7-alpha-only_unrelaxed_rank_040_alphafold2_ptm_model_2_seed_023.r0.pdb,72.1102013888889,74.78878260869564,80.17811475409836,76.76447999999999,72.2288,58.6,46.72,74.24136363636363,16.351169866404053,15.720640095110632,20.490392163157836,17.50378681885723,11.497212966628044,14.061288027773276,10.664691697372222,9.84710195945995,1.2063088762301506,7.009672045323509
_hNaV1.7-alpha-only_unrelaxed_rank_008_alphafold2_ptm_model_3_seed_030.r5.pdb,79.41108333333334,80.7275652173913,84.56983606557377,81.78896,81.07983999999999,78.95666666666666,45.833333333333336,87.80909090909091,15.431228369770176,15.237876623729436,19.421332240605945,20.59243455738053,13.453375561545885,12.48698350283206,28.143275537861616,9.211466875585018,1.0484422269101117,7.789830831532385
_hNaV1.7-alpha-only_unrelaxed_rank_081_alphafold2_ptm_model_1_seed_035.r1.pdb,74.43920833333334,74.64547826086957,81.39286885245902,77.93264,73.10704,66.77666666666666,48.0,81.14454545454545,15.19056697427716,15.567717944515824,20.336461589962006,17.508144533330768,14.902798059424947,13.139691206417297,8.904076257535085,10.184018902181986,1.0790418783056652,7.470269679369256
_hNaV1.7-alpha-only_unrelaxed_rank_047_alphafold2_ptm_model_4_seed_030.pdb,76.47189583333333,78.35930434782608,81.89713114754099,79.24624,78.65624000000001,73.12416666666667,35.24333333333333,85.28363636363636,15.729995041321532,14.780144891035404,19.81725210517341,19.59049981496133,12.634717606658253,13.801249146363528,20.1978352800492,9.610041935392374,1.0079282878622686,7.403445324602059
_hNaV1.7-alpha-only_unrelaxed_rank_052_alphafold2_ptm_model_1_seed_029.r0.pdb,71.19952777777779,73.05017391304348,78.31885245901638,75.67304,69.56639999999999,63.64666666666667,37.49,72.94136363636363,15.361569516165982,15.68601689403655,20.67131609259556,18.063808070282413,13.229242797681206,13.458796900169048,26.23409102675372,10.61883990838924,1.146012869244359,8.120130684036221
_hNaV1.7-alpha-only_unrelaxed_rank_087_alphafold2_ptm_model_5_seed_034.r5.pdb,74.23473611111112,74.52147826086956,79.13926229508196,75.014,76.442,65.77166666666666,43.03333333333333,84.46318181818182,15.294445789239964,14.717763892657064,19.54020534692509,20.359395595154588,13.917595122721451,13.662873123907724,29.46175298586288,9.847242608974351,0.9977971837317868,7.975411930965417
_hNaV1.7-alpha-only_unrelaxed_rank_011_alphafold2_ptm_model_3_seed_036.r5.pdb,78.8249375,79.84791304347826,84.41237704918032,81.4252,81.06447999999999,78.67,45.64666666666667,86.98454545454545,15.307217284666736,15.542241955393695,19.083984542018474,20.491814024141444,12.656736901745251,11.880193516942391,28.901623380011024,9.38581253808108,1.0051526060308626,7.758800875782457
_hNaV1.7-alpha-only_unrelaxed_rank_058_alphafold2_ptm_model_1_seed_021.r5.pdb,74.89447222222222,74.92547826086957,81.36295081967214,77.91824000000001,74.53856,68.55666666666667,49.99,82.17954545454546,15.3222866113384,15.95762570058591,21.113239661406773,18.855009785200327,14.217814564833796,14.05508000688719,8.454018925931027,9.90149412967558,1.0580585847025297,7.454221395215002
